name,imp
floor,543
id,786
lat,495
lng,544
osm_amenity_points_in_0.001,272
osm_amenity_points_in_0.005,384
osm_amenity_points_in_0.0075,321
osm_amenity_points_in_0.01,282
osm_building_points_in_0.001,0
osm_building_points_in_0.005,50
osm_building_points_in_0.0075,83
osm_building_points_in_0.01,89
osm_catering_points_in_0.001,107
osm_catering_points_in_0.005,279
osm_catering_points_in_0.0075,281
osm_catering_points_in_0.01,285
osm_city_closest_dist,727
osm_city_nearest_population,305
osm_crossing_closest_dist,660
osm_crossing_points_in_0.001,145
osm_crossing_points_in_0.005,402
osm_crossing_points_in_0.0075,375
osm_crossing_points_in_0.01,427
osm_culture_points_in_0.001,25
osm_culture_points_in_0.005,106
osm_culture_points_in_0.0075,151
osm_culture_points_in_0.01,176
osm_finance_points_in_0.001,109
osm_finance_points_in_0.005,188
osm_finance_points_in_0.0075,220
osm_finance_points_in_0.01,170
osm_healthcare_points_in_0.005,128
osm_healthcare_points_in_0.0075,223
osm_healthcare_points_in_0.01,201
osm_historic_points_in_0.005,129
osm_historic_points_in_0.0075,225
osm_historic_points_in_0.01,258
osm_hotels_points_in_0.005,127
osm_hotels_points_in_0.0075,154
osm_hotels_points_in_0.01,192
osm_leisure_points_in_0.005,173
osm_leisure_points_in_0.0075,208
osm_leisure_points_in_0.01,244
osm_offices_points_in_0.001,72
osm_offices_points_in_0.005,166
osm_offices_points_in_0.0075,153
osm_offices_points_in_0.01,217
osm_shops_points_in_0.001,159
osm_shops_points_in_0.005,326
osm_shops_points_in_0.0075,363
osm_shops_points_in_0.01,373
osm_subway_closest_dist,598
osm_train_stop_closest_dist,551
osm_train_stop_points_in_0.005,1
osm_train_stop_points_in_0.0075,1
osm_train_stop_points_in_0.01,17
osm_transport_stop_closest_dist,761
osm_transport_stop_points_in_0.005,310
osm_transport_stop_points_in_0.0075,336
osm_transport_stop_points_in_0.01,316
reform_count_of_houses_1000,499
reform_count_of_houses_500,477
reform_house_population_1000,715
reform_house_population_500,793
reform_mean_floor_count_1000,665
reform_mean_floor_count_500,616
reform_mean_year_building_1000,492
reform_mean_year_building_500,657
total_square,1026
date,246
realty_type,236
price_type,0
floor_number,11
city_Ангарск,0
city_АнжероСудженск,0
city_Апрелевка,0
city_Арзамас,0
city_Арск,0
city_Артем,0
city_Афонино,0
city_Ачинск,0
city_Балашиха,0
city_Барнаул,0
city_Белгород,0
city_Белово,0
city_Белокуриха,0
city_Беломорск,0
city_Белореченск,0
city_Бердск,0
city_Березовский,0
city_Берсеневка,0
city_Бийск,0
city_Бирюч,0
city_Боброво,0
city_Бокситогорск,0
city_Бородино,0
city_Братск,0
city_Брянск,0
city_ВерхняяПышма,0
city_Видное,0
city_Владивосток,0
city_Волгоград,0
city_Волгодонск,0
city_Волжский,0
city_Вологда,0
city_Воронеж,0
city_Выборг,0
city_Вязьма,0
city_Гатчина,0
city_Геленджик,0
city_ГорноАлтайск,0
city_Губаха,0
city_Десногорск,0
city_Дзержинск,0
city_Дзержинский,0
city_Долгопрудный,0
city_Дорохово,0
city_Дрожжино,0
city_Екатеринбург,1
city_ЕмельяновскийрайонпосСолонцы,0
city_Ессентуки,0
city_Железногорск,0
city_Жешарт,0
city_Зеленогорск,0
city_Зеленоградск,0
city_Златоуст,0
city_ЗональнаяСтанция,0
city_Иваново,0
city_Ижевск,0
city_Инской,0
city_Иркутск,7
city_ИркутскийрайонМарковарпЗеленыйБерегмкр,0
city_ИркутскийрайонМарковарпСтрижиквл,0
city_ИркутскийрайонпосМолодежный,0
city_Казань,0
city_Калининград,0
city_Калуга,0
city_КаменскУральский,0
city_КаменскШахтинский,0
city_Каневская,0
city_Канск,0
city_Кемерово,9
city_Кизел,0
city_Кингисепп,0
city_Кириши,0
city_Киров,0
city_Киселевск,0
city_Клинцы,0
city_Коммунар,0
city_Кондопога,0
city_Копейск,0
city_Коркино,0
city_Костомукша,0
city_Кострома,0
city_Красногорск,0
city_Краснодар,0
city_Краснокамск,0
city_Красноярск,14
city_Кромы,0
city_Кстово,0
city_Кудрово,0
city_Кузьмоловский,0
city_Курск,0
city_Курчатов,0
city_Лангепас,0
city_ЛенинскКузнецкий,0
city_Лесозаводск,0
city_Липецк,0
city_Липовицы,0
city_Луга,0
city_Людиново,0
city_Магнитогорск,0
city_МалоеИсаково,0
city_Малоярославец,0
city_Маркова,0
city_Медвежьегорск,0
city_Междуреченск,0
city_Миасс,0
city_Минусинск,0
city_Михайловка,0
city_Можайск,0
